no_of_nodes 128
FatTree topology input file: ../../topologies/topo_assignment2/fat_tree_128_4os.topo
traffic matrix input file: ../../connection_matrices/cm_assignment2/one.cm
sender based algo dctcp
Load balancing algorithm set to  reps
queue_type 10
Setting queuesize to 100 packets 
no of paths 200
cwnd 1
endtime(us) 1000
random seed 0
Packet size (MTU) is 1500
Parsed args
Logging to logout.dat
Linkspeed set to 100Gbps
Loading connection matrix from  ../../connection_matrices/cm_assignment2/one.cm
Nodes: 128 Connections: 1 Triggers: 0 Failures: 0
Topology load done
Fat Tree topology (0) with 1us Src-ToR links, 1us ToR-Agg links, 1us Agg-Core links, 0us ToR switch latency, 0us Agg switch latency, 0us Core switch latency.
 for 6us diameter latency.
no_of_tor_uplinks: 128
no_of_agg_uplinks: 128
No of nodes: 128
No of pods: 8
Hosts per pod: 16
Hosts per pod: 16
ToR switches per pod: 4
Agg switches per pod: 4
No of core switches: 16
FatTreeCfg constructor done.
Tier 0 QueueSize Down 150000 bytes
Tier 0 QueueSize Up 150000 bytes
Tier 1 QueueSize Down 150000 bytes
Tier 1 QueueSize Up 150000 bytes
Tier 2 QueueSize Down 150000 bytes
Setting min RTO to 87
Setting ECN to parameters low 30000 high 120000 enable on tor downlink 1
FatTreeTopologyCfg NCORE=16 NAGG=32 NTOR=32 NSRV=128 NPOD=8 tor_switches_per_pod=4 agg_switches_per_pod=4 tiers=3 host_per_pod=16 enabled_ecn=1 enable_ecn_on_tor_downlink=1 ecn_low=30000 ecn_high=120000 num_failed_links=0 failed_link_ratio=0.25 no_of_nodes=128 hop_latency=0 switch_latency=0 diameter_latency=6000000 diameter=6 tier=0 link_latency=1000000 switch_latencies=0 bundlesize=1 downlink_speeds=100000000000 oversub=1 radix_down=4 queue_down=150000 radix_up=4 queue_up=150000 tier=1 link_latency=1000000 switch_latencies=0 bundlesize=1 downlink_speeds=100000000000 oversub=4 radix_down=4 queue_down=150000 radix_up=4 queue_up=150000 tier=2 link_latency=1000000 switch_latencies=0 bundlesize=1 downlink_speeds=25000000000 oversub=1 radix_down=8 queue_down=150000
network_max_unloaded_rtt 12.7507
Initializing static NSCC parameters: _reference_network_linkspeed=100000000000 _reference_network_rtt=12000000 _reference_network_bdp=150000 _target_Qdelay=9563040 _network_linkspeed=100000000000 _network_rtt=12750720 _network_bdp=159384 _qa_gate=2^3 _qa_threshold=3.82522e+07 _scaling_factor_a=1.06256 _scaling_factor_b=0.79692 _alpha=0.000508612 _fi=7629.18 _eta=228.875 _qa_scaling=1 _gamma=0.8 _fi_scale=0.26564 _delay_alpha=0.0125 _adjust_period_threshold=12750720 _adjust_bytes_threshold=12000
Starting simulation
13.5014 DCTCP start Uec_0_16 cwnd 1500 with params skip 0 acked bytes 1500
27.0029 DCTCP start Uec_0_16 cwnd 3000 with params skip 0 acked bytes 1500
27.1229 DCTCP start Uec_0_16 cwnd 3750 with params skip 0 acked bytes 1500
40.5043 DCTCP start Uec_0_16 cwnd 4350 with params skip 0 acked bytes 1500
40.6243 DCTCP start Uec_0_16 cwnd 4867 with params skip 0 acked bytes 1500
54.1258 DCTCP start Uec_0_16 cwnd 5329 with params skip 0 acked bytes 3000
54.2458 DCTCP start Uec_0_16 cwnd 6173 with params skip 0 acked bytes 1500
67.9872 DCTCP start Uec_0_16 cwnd 6537 with params skip 0 acked bytes 6000
81.9686 DCTCP start Uec_0_16 cwnd 7913 with params skip 0 acked bytes 7500
96.0701 DCTCP start Uec_0_16 cwnd 9334 with params skip 0 acked bytes 9000
110.292 DCTCP start Uec_0_16 cwnd 10780 with params skip 0 acked bytes 10500
124.753 DCTCP start Uec_0_16 cwnd 12241 with params skip 0 acked bytes 12000
139.214 DCTCP start Uec_0_16 cwnd 13711 with params skip 0 acked bytes 12000
139.454 DCTCP start Uec_0_16 cwnd 15023 with params skip 0 acked bytes 1500
153.916 DCTCP start Uec_0_16 cwnd 15172 with params skip 0 acked bytes 15000
168.617 DCTCP start Uec_0_16 cwnd 16654 with params skip 0 acked bytes 15000
168.737 DCTCP start Uec_0_16 cwnd 18005 with params skip 0 acked bytes 1500
183.439 DCTCP start Uec_0_16 cwnd 18129 with params skip 0 acked bytes 16500
183.559 DCTCP start Uec_0_16 cwnd 19494 with params skip 0 acked bytes 1500
198.14 DCTCP start Uec_0_16 cwnd 19609 with params skip 0 acked bytes 16500
198.5 DCTCP start Uec_0_16 cwnd 20871 with params skip 0 acked bytes 3000
212.962 DCTCP start Uec_0_16 cwnd 21086 with params skip 0 acked bytes 16500
213.202 DCTCP start Uec_0_16 cwnd 22259 with params skip 0 acked bytes 3000
213.442 DCTCP start Uec_0_16 cwnd 22461 with params skip 0 acked bytes 1500
227.903 DCTCP start Uec_0_16 cwnd 22561 with params skip 0 acked bytes 16500
228.263 DCTCP start Uec_0_16 cwnd 23658 with params skip 0 acked bytes 4500
228.383 DCTCP start Uec_0_16 cwnd 23943 with params skip 0 acked bytes 1500
242.724 DCTCP start Uec_0_16 cwnd 24036 with params skip 0 acked bytes 16500
243.204 DCTCP start Uec_0_16 cwnd 25065 with params skip 0 acked bytes 6000
243.324 DCTCP start Uec_0_16 cwnd 25424 with params skip 0 acked bytes 1500
257.546 DCTCP start Uec_0_16 cwnd 25512 with params skip 0 acked bytes 16500
258.626 DCTCP start Uec_0_16 cwnd 26482 with params skip 0 acked bytes 9000
272.367 DCTCP start Uec_0_16 cwnd 26991 with params skip 0 acked bytes 16500
273.447 DCTCP start Uec_0_16 cwnd 27907 with params skip 0 acked bytes 9000
287.189 DCTCP start Uec_0_16 cwnd 28390 with params skip 0 acked bytes 16500
288.029 DCTCP start Uec_0_16 cwnd 29261 with params skip 0 acked bytes 10500
302.01 DCTCP start Uec_0_16 cwnd 29799 with params skip 0 acked bytes 16500
302.85 DCTCP start Uec_0_16 cwnd 30629 with params skip 0 acked bytes 10500
302.97 DCTCP start Uec_0_16 cwnd 31143 with params skip 0 acked bytes 1500
316.832 DCTCP start Uec_0_16 cwnd 31215 with params skip 0 acked bytes 16500
317.912 DCTCP start Uec_0_16 cwnd 32007 with params skip 0 acked bytes 13500
331.653 DCTCP start Uec_0_16 cwnd 32639 with params skip 0 acked bytes 16500
332.853 DCTCP start Uec_0_16 cwnd 33397 with params skip 0 acked bytes 15000
346.595 DCTCP start Uec_0_16 cwnd 34070 with params skip 0 acked bytes 16500
347.795 DCTCP start Uec_0_16 cwnd 34796 with params skip 0 acked bytes 15000
347.915 DCTCP start Uec_0_16 cwnd 35442 with params skip 0 acked bytes 1500
361.536 DCTCP start Uec_0_16 cwnd 35505 with params skip 0 acked bytes 16500
362.856 DCTCP start Uec_0_16 cwnd 36202 with params skip 0 acked bytes 16500
362.976 DCTCP start Uec_0_16 cwnd 36885 with params skip 0 acked bytes 1500
376.357 DCTCP start Uec_0_16 cwnd 36946 with params skip 0 acked bytes 16500
377.677 DCTCP start Uec_0_16 cwnd 37615 with params skip 0 acked bytes 16500
377.797 DCTCP start Uec_0_16 cwnd 38272 with params skip 0 acked bytes 1500
378.037 DCTCP start Uec_0_16 cwnd 38330 with params skip 0 acked bytes 1500
391.179 DCTCP start Uec_0_16 cwnd 38388 with params skip 0 acked bytes 16500
392.499 DCTCP start Uec_0_16 cwnd 39032 with params skip 0 acked bytes 16500
392.979 DCTCP start Uec_0_16 cwnd 39666 with params skip 0 acked bytes 4500
405.88 DCTCP start Uec_0_16 cwnd 39836 with params skip 0 acked bytes 16500
407.32 DCTCP start Uec_0_16 cwnd 40457 with params skip 0 acked bytes 16500
407.68 DCTCP start Uec_0_16 cwnd 41068 with params skip 0 acked bytes 4500
407.8 DCTCP start Uec_0_16 cwnd 41232 with params skip 0 acked bytes 1500
420.702 DCTCP start Uec_0_16 cwnd 41286 with params skip 0 acked bytes 16500
422.142 DCTCP start Uec_0_16 cwnd 41885 with params skip 0 acked bytes 16500
422.622 DCTCP start Uec_0_16 cwnd 42475 with params skip 0 acked bytes 6000
422.742 DCTCP start Uec_0_16 cwnd 42686 with params skip 0 acked bytes 1500
435.523 DCTCP start Uec_0_16 cwnd 42738 with params skip 0 acked bytes 15000
435.883 DCTCP start Uec_0_16 cwnd 43264 with params skip 0 acked bytes 4500
437.203 DCTCP start Uec_0_16 cwnd 43420 with params skip 0 acked bytes 16500
437.683 DCTCP start Uec_0_16 cwnd 43990 with params skip 0 acked bytes 6000
450.345 DCTCP start Uec_0_16 cwnd 44194 with params skip 0 acked bytes 16500
450.585 DCTCP start Uec_0_16 cwnd 44754 with params skip 0 acked bytes 3000
452.025 DCTCP start Uec_0_16 cwnd 44854 with params skip 0 acked bytes 16500
452.505 DCTCP start Uec_0_16 cwnd 45405 with params skip 0 acked bytes 6000
452.745 DCTCP start Uec_0_16 cwnd 45603 with params skip 0 acked bytes 1500
465.166 DCTCP start Uec_0_16 cwnd 45652 with params skip 0 acked bytes 16500
465.406 DCTCP start Uec_0_16 cwnd 46194 with params skip 0 acked bytes 3000
